Source Name,Village,Parish,Sub-county,County,District,Latitude,Longitude,Lab Identifier Code,Electrical Conductivity,pH,Turbidity,Total Alkalinity,Total Hardness,Calcium Hardness,Fluoride,Nitrites,Sulphates,Ammonium,Chloride,Phosphates,Nitrates,Sodium,Potassium,Iron,Free Chlorine,Color,E.Coli,Total dissolved solids,Bicarbonates,Magnesium Hardness,Total Chlorine,GPS Location,Easting,Northing,Altitude,Field Temperature,Source type,Other Source Name,GPS Latitude,GPS Longtude,Dissolved Oxygen,Calcium,Magnesium,Silica,Mercury,Lead,Manganese,Total Iron
Kyankanwa village borehole,Kyankanwa,Kyankanwa,Katugo T/C,,Nakasongola,1.198533,32.463472,E22/09424,498,6.8,1.9,115,162.4,84.4,0.38,0.01,17.81,0.09,61.62,0.33,7.9,,,,,0.2432,1,348.6,140.3,78,,36N 1.198533,,,,,,,,,,,,,,,,
NWSC Nakasongola PSP,Wabigalo,Wabigalo,Wabigalo,,Nakasongola,1.25125,32.458779,E22/09425,141.5,6.77,2.4,40,38.2,18.8,0.34,0,0.56,0.06,11.54,0.3,0.91,,,,0.14,21,1,99.05,48.8,19.4,0.15,36N 1.251250,,,,,,,,,,,,,,,,
NWSC Nakasongola Kiosk,Kansirye,Kiwongweire,Wabigalo,,Nakasongola,1.294542,32.464752,E22/09426,134.9,6.57,2.6,40,36.6,17.8,0.2,0,0.61,0.08,10.88,0.15,0.22,,,,0,25,10,94.43,48.8,18.8,0,36N 1.294542,,,,,,,,,,,,,,,,
Nakasongola A village borehole,Nakasongola A,Central,Nakasongola T/C,,Nakasongola,1.308018,32.465283,E22/09427,334,6.56,1.8,120,98.6,48.4,0.32,0,1.03,0.05,31.07,0.36,6.71,,,,,3,1,233.8,146.4,50.2,,36N 1.308018,,,,,,,,,,,,,,,,
NWSC Nakasongola PSP,Nakasongola A,Central,Nakasongola T/C,,Nakasongola,1.312917,32.465301,E22/09428,144.6,6.65,2.8,42,43.2,19,0.11,0,1.13,0.08,11.57,0.17,0.35,,,,0,29,10,101.22,51.24,24.2,0,36N 1.312917,,,,,,,,,,,,,,,,
Nakasongola central police borehole,Nakasongola,Central,Nakasongola T/C,,Nakasongola,1.313042,32.465025,E22/09429,666,6.23,2.1,130,135.8,68.4,0.63,0.01,12.35,0.09,67.93,0.19,28.99,,,,,4,32,466.2,158.6,67.4,,36N 1.313042,,,,,,,,,,,,,,,,
St. Kizito Sasira borehole,Ssasira,Ssasira,Wabinyonyi,,Nakasongola,1.333789,32.416601,E22/09430,264,6.01,1.8,92,52.4,25.4,0.18,0,23.26,0.03,12.12,0.16,3.03,,,,,0.2432,1,184.8,112.24,27,,36N 1.333789,,,,,,,,,,,,,,,,
Rwenzori bottled water,,,,,,,,E22/09431,132.5,5.64,1.9,47,36.2,21.6,0.27,0,2.06,0.15,2.08,0.44,2.35,,,,,0.2432,1,92.75,57.34,14.6,,,,,,,,,,,,,,,,,,
NWSC Nkokonjeru PSP,Kigulu,Mulaje,Nkokonjeru T/C,,Buikwe,0.2432820248,32.92221004,E22/09931,132,6.4,2.5,50,40.2,22.4,0.24,0.01,0.9,0.11,3.9,0.07,3.16,10,1.7,,0.04,20,1,92.4,61,17.8,0.1,36N 491344E,491344,26890,,,,,,,,,,,,,,
Kibali shallow well,Kibali,,Ngogwe,,Buikwe,0.2423684672,32.98855078,E22/09934,166,5.8,1.7,52,57.6,34.8,0.19,0.001,6.5,0.06,8.1,0.13,4.62,13,3.2,,,0.2432,1,116.2,63.44,22.8,,36N 498726E,498726,26789,,,,,,,,,,,,,,
Nakigaya Protected spring,Nakigaya,Namatovu,Nujja,,Buikwe,0.2736901249,33.05792023,E22/09935,87,5.9,3.1,37,31.4,14.2,0.2,0.001,3.5,0.08,1.7,0.02,2.44,4,1.3,,,27,101,60.9,45.14,17.2,,36N 506445E,506445,30251,,,,,,,,,,,,,,
Buwooya mosque borehole,Kigayi,Malongwe,Kasubi,,Buikwe,0.2914772133,33.0386525,E22/09936,81,5.9,13,38,35.2,27,0.13,0.02,0.8,0.04,1.3,0.04,0.25,1.8,0.7,,,22,1,56.7,46.36,8.2,,36N 504301E,504301,32217,,,,,,,,,,,,,,
NWSC Buikwe PSP,Majija,Malongwe,Kasubi,,Buikwe,0.303682064,33.02891077,E22/09937,142,6.4,1.4,65,49.6,27,0.25,0.001,0.8,0.09,2.5,0.05,1.22,8.3,2.7,,0.04,0.2432,1,99.4,79.3,22.6,0.08,36N 503217E,503217,33566,,,,,,,,,,,,,,
NWSC Buikwe PSP,Misindye upper,Buikwe,Buikwe T/C,,Buikwe,0.3492081308,33.02726629,E22/09942,279,6.8,2.2,130,114.2,61.4,0.24,0.001,1.5,0.17,7.4,0.18,0.69,12,2.3,,0,3,1,195.3,158.6,52.8,0.01,36N 503034E,503034,38598,,,,,,,,,,,,,,
NWSC Lugazi final treated water,Kawuku,,Lugazi municipality,,Buikwe,0.361602933,32.96922877,E22/09943,90,6.1,1.7,41,37.4,22.2,0.16,0.001,1.3,0.03,2.9,0.02,1.09,2.9,1.5,,1.72,0.2432,1,63,50.02,15.2,1.84,36N 496576E,496576,39968,,,,,,,,,,,,,,
NWSC Lugazi PSP - far point,Kibuba,,,,Buikwe,0.3681259767,32.95402286,E22/09945,93,6.2,2.1,37,46.6,20.6,0.13,0.001,1.4,0.02,4,0.01,0.94,4.3,1.7,,0.06,5,1,65.1,45.14,26,0.09,36N 494884E,494884,40689,,,,,,,,,,,,,,
Kasowole P/Sch borehole DWD 86267,Bulagala B,Kasowole,Kigumba,,Kamuli,1.118778936,33.09036983,E22/09951,552,6.4,2.1,190,156.4,98.8,0.55,0.01,61,0.07,20,0.19,3.65,54,5.5,,,0.2432,8,386.4,231.8,57.6,,36N 510054E,510054,123659,,,,,,,,,,,,,,
Namusita Buyima community b/hole DWD 66233,Namusita Buyima,Kasowole,Kigumba,,Kamuli,,,E22/09952,276,6.1,1.7,115,82,47.4,0.52,0.001,15,0.04,3.2,0.14,2.82,26,2.6,,,0.2432,1,193.2,140.3,34.6,,36N,,,,,,,,,,,,,,,,
Busuna shallow well,Busuna,Nawangaiza,Bulawoli T/C,,Kamuli,1.02725652,33.09804305,E22/09953,230,5.7,2.8,37,40.4,23,0.21,0.01,26,0.12,14,0.01,4.37,25,7.4,,,13,78,161,45.14,17.4,,36N 510908E,510908,113543,,,,,,,,,,,,,,
Namuyinji HC II borehole,Namuyingi,Buswa,Nabiwigulu,,Kamuli,1.008745743,33.09997493,E22/09954,530,6.4,1.9,110,166.8,93.6,0.5,0.01,9.4,0.02,72,0.09,3.1,31,3.9,,,0.2432,1,371,134.2,73.2,,36N 511123E,511123,111497,,,,,,,,,,,,,,
Bulindi shallow well,Bulindi,,Nankulyaku,,Kamuli,0.9473234315,33.1120709,E22/09955,129,5.1,2.4,14,26.2,13.4,0.23,0.001,18,0.05,0.9,0.01,6.1,6.8,16,,,0.2432,1,90.3,17.08,12.8,,36N 512469E,512469,104708,,,,,,,,,,,,,,
Namaganda shallow well,Namaganda Butooli,Namaganda,Kitayundwa,,Kamuli,0.8658672028,33.19967182,E22/09958,184,5.4,1.8,21,29.4,20.6,0.17,0.001,22,0.02,13,0.05,3.52,22,2.3,,,0.2432,1,128.8,25.62,8.8,,36N 522216E,522216,95705,,,,,,,,,,,,,,
Naminage community borehole DWD 28947,Naminage,Kitayundwa,Kitayundwa,,Kamuli,0.8661304625,33.18211883,E22/09959,621,6.2,2.1,150,238,82,0.4,0.1,39,0.05,48,0.11,29,29,4.2,,,1,1,434.7,183,156,,36N 520263E,520263,95734,,,,,,,,,,,,,,
Kitayundwa community borehole,Kitayundwa,Kitayundwa,Kitayundwa,,Kamuli,0.8928570054,33.16133136,E22/09960,576,6.6,1.8,240,254.8,188,0.34,0.001,44,0.08,7.2,0.12,8.72,25,2.2,,,0.2432,1,403.2,292.8,66.8,,36N 517950E,517950,98688,,,,,,,,,,,,,,
Kitayundwa shallow well,Kitayundwa,Kitayundwa,Kitayundwa,,Kamuli,0.8974077968,33.16083723,E22/09961,571,6.5,2.5,175,210.2,128.6,0.24,0.01,26,0.01,27,0.01,13,31,5.5,,,4,10,399.7,213.5,81.6,,36N 517895E,517895,99191,,,,,,,,,,,,,,
Namisambya shalllow well,Namisambya,Kitayundwa,Northern Div,,Kamuli,0.9088986155,33.14175655,E22/09962,131,5.9,1.7,16,30.4,21.2,0.1,0.001,6.7,0.27,7.1,0.02,6.12,6.9,7.8,,,0.2432,1,91.7,19.52,9.2,,36N 515772E,515772,100461,,,,,,,,,,,,,,
Namisambya community borehole,Namisambya 2,Businge,Northern Div,,Kamuli,0.9102738669,33.14003993,E22/09963,557,5.8,1.8,74,146.4,79.2,0.23,0.01,115,0.002,55,0.1,3.2,46,5.6,,,0.2432,1,389.9,90.28,67.2,,36N 515581E,515581,100613,,,,,,,,,,,,,,
Bukwenge COU borehole,Bukwenge,Northern Div,Kamuli Municipality,,Kamuli,0.9243703266,33.11747189,E22/09964,434,6.2,1.8,85,120.4,77.4,0.34,0.001,38,0.18,28,0.19,11,47,6.4,,,0.2432,1,303.8,103.7,43,,36N 513070E,513070,102171,,,,,,,,,,,,,,
NWSC Kamuli resovior (final treated water),,,Kamuli Municipality,,Kamuli,0.9419670792,33.12290119,E22/09965,716,6.9,1.8,130,215.6,123.2,0.64,0.01,16,0.19,110,0.1,2.63,55,7.3,,,2,1,501.2,158.6,92.4,,36N 513674E,513674,104116,,,,,,,,,,,,,,
community borehole,Bulyampanga,Nayibowa,Butunsi,,Kamuli,0.8901723906,33.09107359,E22/09969,162,6,1.7,53,42.4,23.2,0.27,0.01,5.6,0.08,9.2,0.3,2.57,15,3,,,0.2432,1,113.4,64.66,19.2,,36N 510133E,510133,98391,,,,,,,,,,,,,,
Busobya community borehole,Busobya zone,,Mbulamuti,,Kamuli,0.8403768775,33.05171526,E22/09972,161,5.8,1.6,52,33.8,20,0.32,0.01,2.2,0.05,4.5,0.1,5.99,17,2.8,,,0.2432,1,112.7,63.44,13.8,,36N 505754E,505754,92887,,,,,,,,,,,,,,
Wampologma community b/hole DWD 59654,Wampologoma,,Busana,,Kayunga,0.7896037976,33.00511394,E22/09973,220,6.1,1.9,100,79,68.8,0.22,0.01,7.8,0.04,1.2,0.08,1.43,14,2,,,0.2432,1,154,122,10.2,,36N 500569E,500569,87275,,,,,,,,,,,,,,
Bugonda community b/hole WDD 178,Bugonda,,Busaana,,Kayunga,0.7694283255,32.99476924,E22/09974,785,6.8,1.8,195,318.4,149,0.8,0.001,80,0.002,73,0.03,0.82,30,7.7,,,0.2432,1,549.5,237.9,169.4,,36N 499418E,499418,85045,,,,,,,,,,,,,,
Bugonda shallow well,Bugonda,,BUsaana,,Kayunga,0.7567168677,33.0082865,E22/09975,197,5.7,1.8,34,44,21.4,0.07,0.001,5.8,0.11,1.7,0.03,16,12,16,,,0.2432,1,137.9,41.48,22.6,,36N 500922E,500922,83640,,,,,,,,,,,,,,
Buganda borehole,Buganda,Kibazi,Busaana,,Kayunga,0.7513427693,33.00994019,E22/09976,756,5.8,1.6,60,212.8,112.2,0.15,0.001,91,0.05,124,0.02,5.49,55,9.4,,,0.2432,1,529.2,73.2,100.6,,36N 501106E,501106,83046,,,,,,,,,,,,,,
Namirembe village borehole WDD 782,Namirembe,,Busaana,,Kayunga,0.797664875,32.97663221,E22/09977,317,6,1.7,99,110.4,53.2,0.42,0.001,1.6,0.06,35,0.05,2.35,16,3.9,,,0.2432,1,221.9,120.78,57.2,,36N 497400E,497400,88166,,,,,,,,,,,,,,
Nongo mosque borehole,Nongo,,Kitmbwa,,Kayunga,0.8099868175,32.9339858,E22/09978,272,6,2.7,110,101.6,69.8,0.24,0.02,2.3,0.15,9.8,0.1,4.13,13,1.7,,,0.2432,1,190.4,134.2,31.8,,36N 492655E,492655,89528,,,,,,,,,,,,,,
Budada borehole,Budada,Wabuyija,Kitimbwa,,Kayunga,0.8444650237,32.88969382,E22/09979,566,5.8,1.8,600,158.6,102.4,0.31,0.001,34,0.05,100,0.17,6.49,35,10,,,1,1,396.2,732,56.2,,36N 487727E,487727,93339,,,,,,,,,,,,,,
Bulawula village b/hole WDD 9128,Bulawula C,Bulawula,Kitmbwa S/C,,Kayunga,0.8358171112,32.95371336,E22/09981,271,6.2,1.8,130,132.2,61,0.44,0.001,2.6,0.09,1.6,0.13,2.09,15,4.1,,,0.2432,1,189.7,158.6,71.2,,36N 494850E,494850,92383,,,,,,,,,,,,,,
Nkokonjeru p/sch borehole,Nkokonjeru,Nkokonjeru,Kitimbwa,,Kayunga,0.827285445,32.94807819,E22/09982,260,6,2.2,66,74.4,45.8,0.35,0.001,1.1,0.08,28,0.04,6.61,20,3.4,,,11,1,182,80.52,28.6,,36N 4942223E,494223,91440,,,,,,,,,,,,,,
Busaana T/C H/qtrs borehole,Kawuku,Busaana,Busaana,,Kayunga,0.7729567552,32.98718374,E22/09983,483,6.4,1.8,95,150,89.8,0.38,0.001,16,0.01,44,0.24,20,29,5.2,,,0.2432,1,338.1,115.9,60.2,,36N 498574E,498574,85435,,,,,,,,,,,,,,
Aliganyira shallow well or Bangirana shallow well,Kyabakwerere,Kyabakwerere,Bigodi Town Council,,Kamwenge,0.4225481,30.417939,E22/03131,76,6.9,1.24,,,,,0.00102,9.72927,0.00865,1.39561,,,,,,,,9,53.2,,,,,212591.0742,10046752.05,1211.670776,25,,,,,,,,,,,,
Kihoima bore hole,Kihoima,Kyabakwerere,Bigodi Town Council,,Kamwenge,0.421358,30.4292628,E22/03132,134.2,7.1,1.03,,,,,0.00152,15.7005,0.03777,1.31526,,,,,,,,1,93.94,,,,,213852.3355,10046619.96,1277.733032,23.1,,,,,,,,,,,,
Basaliza spring,Kihoima,Kyabakwerere,Bigodi Town Council,,Kamwenge,0.4252631,30.4337115,E22/02818,116.5,7.38,0.99,,,,,0.00201,12.50203,0.02682,0.96973,,,,,,,,108,81.55,,,,,214347.9953,10047051.86,1256.806519,23,,,,,,,,,,,,
Kamwenge College School  Tap,Ganyenda I,Ganyenda,Kamwenge,,Kamwenge,,,E22/02856,267,7.35,0.85,,,,,0.0087,64.31276,0.082,8.6367,,,,,,,,,186.9,,,,,,,,24.9,,,,,,,,,,,,
Machiro Primary School Tap,Kinoni I,Ganyenda,Kamwenge,,Kamwenge,,,E22/02857,275,7.41,0.95,,,,,0.00244,54.38193,0.04155,9.26287,,,,,,,,,192.5,,,,,,,,23.7,,,,,,,,,,,,
Machiro Primary School BH,Kinoni I,Ganyenda,Kamwenge,,Kamwenge,,,E22/02858,64.7,7.06,0.96,,,,,0.0019,6.18002,0.02381,0.49023,,,,,,,,1,45.29,,,,,,,,24,,,,,,,,,,,,
Agaba Waren Tap,Kengoma II,Nyamashegwa,Kabambiro,,Kamwenge,0.1582,30.51169,E22/02989,266,7.53,104,,,,,0.00343,65.234,0.03084,8.7641,,,,,,,,1,186.2,,,,,223026.7796,10017502.47,1245,24.3,,,,,,,,,,,,
Kishiza shallow well,Burengye,Nyamashegwa,Kabambiro,,Kamwenge,0.1719713,30.5303866,E22/02990,420,7.87,1.08,,,,,0.00157,61.22324,0.02367,9.88801,,,,,,,,36,294,,,,,225109.3864,10019025.79,1199.865895,24.2,,,,,,,,,,,,
Bamurahura s/w,Burengye,Nyamashegwa,Kabambiro,,Kamwenge,0.1723626,30.5343317,E22/02991,323,7.95,1.13,,,,,0.00144,31.45613,0.00663,5.38449,,,,,,,,1,226.1,,,,,225548.7911,10019069.02,1210.288193,24.1,,,,,,,,,,,,
Nyamashegwa eremera BH,Nyamashegwa I,Nyamashegwa,Kabambiro,,Kamwenge,0.1632435,30.5314689,E22/02992,157.4,7.65,0.97,,,,,0.00331,18.66576,0.01149,1.45978,,,,,,,,1,110.18,,,,,225229.8096,10018060.18,1211.592685,24.3,,,,,,,,,,,,
Bazerio musheroko shallow well,Kengoma II,Nyamashegwa,Kabambiro,,Kamwenge,0.1567413,30.5466035,E22/02993,562,8.15,1.1,,,,,0.0018,103.4988,0.01239,10.70044,,,,,,,,102,393.4,,,,,226915.384,10017340.63,1178.559326,24.4,,,,,,,,,,,,
Maniriho Sharon psp,Kengoma II,Nyamashegwa,Kabambiro,,Kamwenge,0.1660819,30.5254732,E22/02994,284,7.56,1.1,,,,,0.00191,58.16407,0.00917,10.17997,,,,,,,,1,198.8,,,,,224562.0547,10018374.29,1230.871338,24.1,,,,,,,,,,,,
Akako shallow well,Kengoma II,Nyamashegwa,Kabambiro,,Kamwenge,0.1621146,30.5384565,E22/02995,357,8.05,1.02,,,,,0.00786,31.7049,0.02297,12.53693,,,,,,,,66,249.9,,,,,226008.0612,10017935.2,1184.417358,24.4,,,,,,,,,,,,
Mpongerurwimo psp,Kengoma II,Nyamashegwa,Kabambiro,,Kamwenge,0.1644007,30.5273599,E22/02996,271,7.63,0.85,,,,,0.00293,66.62563,0.05155,11.13073,,,,,,,,1,189.7,,,,,224772.1702,10018188.27,1195.172119,24.4,,,,,,,,,,,,
Kamagege shallow well,Nkoma,Nkoma  ward,Nkoma-katalyeba Town Council,,Kamwenge,0.3288505,30.6459846,E22/04762,328,5.98,26,,,,,0.00057,44.30161,0.01697,9.01585,0.04564,2.00486,,,,,,,229.6,,,,,237987.0935,10036378.77,1279.673096,,,,,,,,,,,,,
Kinyonza protected spring,Kinyonza,Kinyonza,Nkoma-katalyeba Town Council,,Kamwenge,0.370333,30.6580518,E22/04763,380,6.36,1.5,,,,,0.00182,31.98672,0.10891,15.21136,0.12568,2.40506,,,,,,3,266,,,,,239332.1297,10040967.38,1290.897705,,,,,,,,,,,,,
Damasiko Primary School RAINTANK,Damasiko,Nkoma,Nkoma,,Kamwenge,,,E22/04764,7.87,5.41,1.2,,,,,0.00339,1.09223,0.26704,0.14848,0.11733,0.66438,,,,,,1,5.509,,,,,,,,,,,,,,,,,,,,
Barungi protected spring,Kikiri,Ntonwa parish,Bwizi,,Kamwenge,0.4305675,30.7320713,E22/04765,387,6.14,3.25,,,,,0.00621,31.37258,0.02866,4.86134,0.16647,0.8676,,,,,,2,270.9,,,,,247577.0344,10047628.21,1413.537964,,,,,,,,,,,,,
Rutooma protected spring,Rutooma,Kyakaitaba,Bwizi,,Kamwenge,0.4296168,30.7353897,E22/04766,216.5,5.94,4.1,,,,,0.00327,12.92991,0.02345,2.03056,0.06243,3.49218,,,,,,4,151.55,,,,,247946.5386,10047522.94,1375.878418,,,,,,,,,,,,,
Zone 4 &5 4980,Block 4,,,,Lamwo,3.35461559,32.43775776,UN23/0263,881,7.28,0.14,524,266.8,83.6,0.38,,2.47,,6.75,,0.02,116.3,,,,,,616.7,639.3,43.97,,,437542,370808,,,Borehole,,,,,,,,,,,
Zone 4 &5 4980,Block 4,,,,Lamwo,3.35461559,32.43775776,UN23/0264,956,7.29,0.23,468,270.8,70.4,0.31,,2.33,,5.31,,0.02,130.6,,,,,,669.2,571,48.1,,,437542,370808,,,Borehole,,,,,,,,,,,
Zone 4 &5 4980,Block 4,,,,Lamwo,3.356938177,32.43365167,UN23/0265,987,7.33,0.88,524,248.4,124.8,0.35,,2.85,,5.32,,0.02,106.8,,,,,,690.9,639.3,29.66,,,437086,371065,,,Borehole,,,,,,,,,,,
Zone 1 Block 4,Block 4B,,,,Lamwo,3.356938177,32.43365167,UN23/0266,727,7.56,1.12,312,296.8,138.4,0.468,,2.84,,12.38,,5.57,68.77,,,,,,508.9,380.6,38.02,,,437086,371065,,,Tap,,,,,,,,,,,
Zone 1 Block 4,Block 4B,,,,Lamwo,3.356938177,32.43365167,UN23/0267,859,7.37,6.12,440,278.4,46.8,0.49,,2.43,,11.14,,5.7,67.79,,,,,,601.3,536.8,55.58,,,437086,371065,,,Tap,,,,,,,,,,,
Zone 5 Block 12,Block 12A Zone B,,,,Lamwo,3.411183523,32.48567985,UN23/0268,865,7.34,0.24,508,369.6,68,0.38,,6.01,,11.83,,0.02,79.06,,,,,,605.5,619.8,72.38,,,442869,377058,,,Borehole,,,,,,,,,,,
Zone 5 Block 12,Block 12A Zone B,,,,Lamwo,3.411183523,32.48567985,UN23/0269,863,7.59,6.18,420,332.8,91.6,0.34,,6.23,,12.25,,0.02,78.23,,,,,,604.1,512.4,57.89,,,442869,377058,,,Borehole,,,,,,,,,,,
Zone 5 Block 12,Block 12A Zone B,,,,Lamwo,3.411183523,32.48567985,UN23/0270,874,7.55,0.29,528,360,97.2,0.66,,5.81,,11.6,,0.02,74.29,,,,,,611.8,644.2,63.07,,,442869,377058,,,Borehole,,,,,,,,,,,
Zone 5 Block 12,Block 12A Zone B,,,,Lamwo,3.411183523,32.48567985,UN23/0271,817,7.62,0.37,492,338.8,122,0.98,,8.46,,21.2,,0.02,75.3,,,,,,571.9,600.2,52.03,,,442869,377058,,,Borehole,,,,,,,,,,,
Zone 5 Block 12,Block 12A Zone B,,,,Lamwo,3.411183523,32.48567985,UN23/0272,848,7.72,0.42,472,329.6,100,1.6,,7.52,,17.4,,0.02,77.77,,,,,,593.6,575.8,55.1,,,442869,377058,,,Borehole,,,,,,,,,,,
Nyalagala,Nyalagala,,,,Lamwo,3.621655689,32.59826259,UN23/0273,472,7.05,0.18,260,249.2,102.4,1.8,,8.14,,0.81,,0.02,24.6,,,,,,330.4,317.2,35.23,,,455385,400317,,,Borehole,,,,,,,,,,,
Olug Olo 22365,Akelikongo North,,,,Lamwo,3.612381305,32.63760655,UN23/0274,276,6.63,397,164,142,79.6,0.62,,,,0.68,,0.02,18.65,,,,,,193.2,200.1,14.98,,,459754,399290,,,Borehole,,,,,,,,,,,
Nyalagala 37447,Akelikongo North,,,,Lamwo,3.621655689,32.59826259,UN23/0275,472,7.69,0.49,164,249.6,124.8,1.28,,7.21,,0.29,,0.02,24.67,,,,,,330.4,200.1,29.95,,,455385,400317,,,Borehole,,,,,,,,,,,
Olug Olo 22365,Alelikongo North,,,,Lamwo,3.612381305,32.63760655,UN23/0276,280,6.6,0.53,240,161.6,64,0.682,,,,0.33,,0.02,16.21,,,,,,196,292.8,23.42,,,459754,399290,,,Borehole,,,,,,,,,,,
Pok Lengo,Alelikongo North,,,,Lamwo,3.614345091,32.59637491,UN23/0277,56.1,5.98,0.33,164,59.2,49.2,1.29,,,,0.92,,2.11,3.98,,,,,,39.27,200.1,2.4,,,455175,399509,,,Borehole,,,,,,,,,,,
Zone 4 Block 9,Zone 4 Block 9,,,,Lamwo,3.371200284,32.4741696,UN23/0278,805,7.42,0.35,56,336.8,127.2,0.6,,7.5,,3.96,,2.02,75.48,,,,,,563.5,68.3,50.3,,,441588,372639,,,Borehole,,,,,,,,,,,
Zone 4 Block 9,Zone 4 Block 9,,,,Lamwo,3.371200284,32.4741696,UN23/0279,799,7.5,0.47,520,288,116.4,0.25,,10.8,,4.25,,0.02,84.44,,,,,,559.3,634.4,41.18,,,441588,372639,,,Borehole,,,,,,,,,,,
Zone 4 Block 9,Zone 4 Block 9,,,,Lamwo,3.371200284,32.4741696,UN23/0280,806,7.33,0.39,372,327.6,104,0.24,,10.06,,4.16,,1.39,81.56,,,,,,564.2,453.8,53.66,,,441588,372639,,,Borehole,,,,,,,,,,,
Zone 4 Block 9,Zone 4 Block 9,,,,Lamwo,3.371200284,32.4741696,UN23/0281,808,7.07,0.48,392,287.2,168.8,0.25,,10.2,,4.17,,0.02,85.8,,,,,,565.6,478.2,28.42,,,441588,372639,,,Borehole,,,,,,,,,,,
Zone 4 Block 10,Zone 4 Block 9,,,,Lamwo,3.371200284,32.4741696,UN23/0282,801,7.54,0.22,436,331.6,155.6,0.22,,9.53,,4.19,,0.02,82.9,,,,,,560.7,531.9,42.24,,,441588,372639,,,Borehole,,,,,,,,,,,
Zone 6 Block 6,Zone 6 Block 6,,,,Lamwo,3.371214305,32.50068908,UN23/0283,505,7.09,0.28,400,204,51.6,1.08,,2.11,,4.27,,0.02,33.03,,,,,,353.5,488,36.58,,,444534,372639,,,Borehole,,,,,,,,,,,
Zone 6 Block 6,Zone 6 Block 6,,,,Lamwo,3.362936616,32.5006933,UN23/0284,503,7.15,0.32,272,222,58.4,1.22,,1.93,,4.87,,0.02,35.37,,,,,,352.1,331.8,39.26,,,444534,371724,,,Borehole,,,,,,,,,,,
Zone 6 Block 6,Zone 6 Block 6,,,,Lamwo,3.362936616,32.5006933,UN23/0285,510,6.95,0.38,280,238.4,61.6,0.52,,2.05,,4.42,,0.02,34.24,,,,,,357,341.6,42.43,,,444534,371724,,,Borehole,,,,,,,,,,,
Zone 6 Block 6,Zone 6 Block 6,,,,Lamwo,3.362936616,32.5006933,UN23/0286,506,7.03,0.32,312,234.4,67.6,0.52,,1.91,,4.41,,0.02,34.94,,,,,,354.2,380.6,40.03,,,444534,371724,,,Borehole,,,,,,,,,,,
Zone 7 Block 8,Ajagala,,,,Lamwo,3.344236673,32.48234848,UN23/0287,640,8.22,0.26,284,251.6,69.2,1.04,,4.6,,13.35,,5.67,54.97,,,,,,448,346.5,43.78,,,442495,369658,,,Borehole,,,,,,,,,,,
Ajagala 45571,Ajagala,,,,Lamwo,3.341321116,32.47757017,UN23/0288,693,7.81,0.4,324,239.2,122.4,1.14,,3.78,,10.96,,6.73,64.42,,,,,,485.1,395.3,28.03,,,441964,369336,,,Borehole,,,,,,,,,,,
Block 8 Zone 7,Ajagala,,,,Lamwo,3.344236673,32.48234848,UN23/0289,772,7.07,0.72,352,355.6,39.6,0.91,,4.69,,10.88,,8.14,54.93,,,,,,540.4,429.4,75.84,,,442495,369658,,,Borehole,,,,,,,,,,,
Ajagala 45571,Ajagala,,,,Lamwo,3.341321116,32.47757017,UN23/0290,688,7.83,0.24,400,225.2,45.6,0.39,,3.74,,10.89,,6.36,62.1,,,,,,481.6,488,43.1,,,441964,369336,,,Borehole,,,,,,,,,,,
Ajagala 45571,Ajagala,,,,Lamwo,3.341321116,32.47757017,UN23/0291,683,7.97,0.18,376,256,40.8,1.11,,3.96,,10.13,,6,62.04,,,,,,478.1,458.7,51.65,,,441964,369336,,,Borehole,,,,,,,,,,,
Ajaogala,Ajaogala,,,,Lamwo,3.332701071,32.46339738,UN23/0292,473,7.48,0.22,380,231.6,64.8,0.44,,1.55,,2.32,,1.77,31.2,,,,,,331.1,463.6,40.03,,,440389,368384,,,Tap,,,,,,,,,,,
Ajaogala,Ajaogala,,,,Lamwo,3.353518443,32.46544745,UN23/0293,841,6.99,0.24,280,239.6,32.4,1.17,,4.31,,8.9,,0.02,80.1,,,,,,588.7,341.6,49.73,,,440618,370685,,,Borehole,,,,,,,,,,,
Bwero Langwidi,Ajaogala,,,,Lamwo,3.306108873,32.45570668,UN23/0294,309,6.78,6.11,444,102.8,40.8,1.25,,0.38,,5.15,,1.43,29.6,,,,,,216.3,541.7,14.88,,,439533,365445,,,Unprotected Spring,,,,,,,,,,,
Ajaogala,Ajaogala,,,,Lamwo,3.330838635,32.46553174,UN23/0295,357,6.93,0.18,188,91.2,56.8,1.56,,,,1.55,,4.06,24.39,,,,,,249.9,229.4,8.26,,,440626,368178,,,Borehole,,,,,,,,,,,
Block 7 Zone 7,Ajaogala,,,,Lamwo,3.332424433,32.47040068,UN23/0296,466,7.03,0.22,264,171.6,64.8,0.23,,1.63,,2.27,,1.91,31.4,,,,,,326.2,322.1,25.63,,,441167,368353,,,Tap,,,,,,,,,,,
Our Lady's Secondary School Kitwekyambogo,Mbogo,Kitwe-Kyambogo,Luuka Tc,,Luuka,0.7733216,33.37607,E22/04394,480,7.6,2.76,,,,,0.005,98.6,0.024,16.4,0.281,3.834,,,,,,1,336,,,,,541843.4,10085477,,,Protected Deep borehole Hand Pump,Our Lady's ss protected deep Borehole,0.7733216,33.37607,,,,,,,,
